Pin Designator,Net Name
1,rst_n
2,rst_ni
3,VSS
4,VSS
5,ctrl_ready_o
6,ctrl_valid_i
7,ctrl_i_segment[94]
8,ctrl_i_segment[95]
9,ctrl_i_segment[92]
10,ctrl_i_segment[93]
11,ctrl_i_segment[90]
12,ctrl_i_segment[91]
13,ctrl_i_segment[88]
14,ctrl_i_segment[89]
15,VSS
16,ctrl_i_segment[87]
17,ctrl_i_segment[85]
18,ctrl_i_segment[86]
19,ctrl_i_segment[83]
20,ctrl_i_segment[84]
21,ctrl_i_segment[81]
22,ctrl_i_segment[82]
23,VSS
24,ctrl_i_segment[80]
25,ctrl_i_segment[79]
26,VSS
27,ctrl_i_segment[77]
28,ctrl_i_segment[78]
29,ctrl_i_segment[75]
30,ctrl_i_segment[76]
31,ctrl_i_segment[73]
32,ctrl_i_segment[74]
