Pin Designator,Net Name
1,clk
2,VDD
3,VSS
4,VDD
5,NC
6,bank0_err_retry_exhausted[17]
7,bank0_err_retry_exhausted[16]
8,bank0_err_retry_exhausted[18]
9,bank0_err_retry_exhausted[19]
10,bank0_err_retry_exhausted[20]
11,bank0_err_retry_exhausted[21]
12,bank0_err_retry_exhausted[22]
13,bank0_err_retry_exhausted[23]
14,VSS
15,bank0_err_retry_exhausted[24]
16,bank0_err_retry_exhausted[26]
17,bank0_err_retry_exhausted[27]
18,bank0_err_retry_exhausted[28]
19,bank0_err_retry_exhausted[29]
20,bank0_err_retry_exhausted[30]
21,bank0_err_retry_exhausted[25]
22,VDD
23,bank0_err_retry_exhausted[31]
24,VSS
25,VSS
26,VSS
27,VDD
28,bank0_addr[0]
29,bank0_addr[1]
30,bank0_addr[2]
31,bank0_addr[3]
32,clk_i
