Pin Designator,Net Name
1,VSS
2,bank1_addr[0]
3,VDD
4,VSS
5,NC
6,NC
7,VSS
8,NC
9,NC
10,NC
11,NC
12,NC
13,NC
14,NC
15,VSS
16,NC
17,bank1_err_retry_exhausted[15]
18,NC
19,bank1_err_retry_exhausted[13]
20,bank1_err_retry_exhausted[14]
21,VSS
22,VDD
23,bank1_err_retry_exhausted[11]
24,bank1_err_retry_exhausted[12]
25,bank1_err_retry_exhausted[9]
26,bank1_err_retry_exhausted[10]
27,bank1_err_retry_exhausted[7]
28,bank1_err_retry_exhausted[8]
29,bank1_err_retry_exhausted[5]
30,bank1_err_retry_exhausted[6]
31,bank1_err_retry_exhausted[3]
32,bank1_err_retry_exhausted[4]
