Pin Designator,Net Name
1,bank0_addr[5]
2,bank0_addr[4]
3,bank0_addr[6]
4,VSS
5,bank0_addr[8]
6,bank0_addr[7]
7,bank0_addr[10]
8,bank0_addr[9]
9,ctrl_i_segment[0]
10,bank0_addr[11]
11,ctrl_i_segment[2]
12,ctrl_i_segment[1]
13,VSS
14,ctrl_i_segment[3]
15,ctrl_i_segment[5]
16,ctrl_i_segment[4]
17,ctrl_i_segment[7]
18,ctrl_i_segment[6]
19,ctrl_i_segment[9]
20,ctrl_i_segment[8]
21,ctrl_i_segment[11]
22,ctrl_i_segment[10]
23,VSS
24,VSS
25,ctrl_i_segment[13]
26,ctrl_i_segment[12]
27,ctrl_i_segment[15]
28,ctrl_i_segment[14]
29,ctrl_i_segment[17]
30,ctrl_i_segment[16]
31,ctrl_i_segment[20]
32,ctrl_i_segment[19]
